var_name,offset,pre-run-data,post-run-data
A,0,0,0
A,1,0,0
A,2,0,0
A,3,0,0
A,4,0,3
A,5,0,0
A,6,0,0
A,7,0,0
A,8,0,8
A,9,0,0
A,10,0,0
A,11,0,0
A,12,0,15
A,13,0,0
A,14,0,0
A,15,0,0
A,16,0,24
A,17,0,0
A,18,0,0
A,19,0,0
A,20,0,35
A,21,0,0
A,22,0,0
A,23,0,0
A,24,0,48
A,25,0,0
A,26,0,0
A,27,0,0
A,28,0,63
A,29,0,0
A,30,0,0
A,31,0,0
A,32,0,80
A,33,0,0
A,34,0,0
A,35,0,0
A,36,0,99
A,37,0,0
A,38,0,0
A,39,0,0
B,0,0,0
B,1,0,0
B,2,0,0
B,3,0,0
B,4,2,2
B,5,0,0
B,6,0,0
B,7,0,0
B,8,4,4
B,9,0,0
B,10,0,0
B,11,0,0
B,12,6,6
B,13,0,0
B,14,0,0
B,15,0,0
B,16,8,8
B,17,0,0
B,18,0,0
B,19,0,0
B,20,10,10
B,21,0,0
B,22,0,0
B,23,0,0
B,24,12,12
B,25,0,0
B,26,0,0
B,27,0,0
B,28,14,14
B,29,0,0
B,30,0,0
B,31,0,0
B,32,16,16
B,33,0,0
B,34,0,0
B,35,0,0
B,36,18,18
B,37,0,0
B,38,0,0
B,39,0,0
C,0,0,0
C,1,0,0
C,2,0,0
C,3,0,0
C,4,1,1
C,5,0,0
C,6,0,0
C,7,0,0
C,8,4,4
C,9,0,0
C,10,0,0
C,11,0,0
C,12,9,9
C,13,0,0
C,14,0,0
C,15,0,0
C,16,16,16
C,17,0,0
C,18,0,0
C,19,0,0
C,20,25,25
C,21,0,0
C,22,0,0
C,23,0,0
C,24,36,36
C,25,0,0
C,26,0,0
C,27,0,0
C,28,49,49
C,29,0,0
C,30,0,0
C,31,0,0
C,32,64,64
C,33,0,0
C,34,0,0
C,35,0,0
C,36,81,81
C,37,0,0
C,38,0,0
C,39,0,0
