var_name,offset,pre-run-data,post-run-data
acc_avg_x,0,0,0
acc_avg_x,1,0,0
acc_avg_x,2,0,0
acc_avg_x,3,0,0
acc_avg_x,4,1,1
acc_avg_x,5,0,0
acc_avg_x,6,0,0
acc_avg_x,7,0,0
acc_avg_x,8,2,2
acc_avg_x,9,0,0
acc_avg_x,10,0,0
acc_avg_x,11,0,0
acc_avg_x,12,3,3
acc_avg_x,13,0,0
acc_avg_x,14,0,0
acc_avg_x,15,0,0
acc_avg_x,16,4,4
acc_avg_x,17,0,0
acc_avg_x,18,0,0
acc_avg_x,19,0,0
acc_avg_x,20,5,5
acc_avg_x,21,0,0
acc_avg_x,22,0,0
acc_avg_x,23,0,0
acc_avg_x,24,6,6
acc_avg_x,25,0,0
acc_avg_x,26,0,0
acc_avg_x,27,0,0
acc_avg_x,28,7,7
acc_avg_x,29,0,0
acc_avg_x,30,0,0
acc_avg_x,31,0,0
acc_avg_x,32,8,8
acc_avg_x,33,0,0
acc_avg_x,34,0,0
acc_avg_x,35,0,0
acc_avg_x,36,9,9
acc_avg_x,37,0,0
acc_avg_x,38,0,0
acc_avg_x,39,0,0
acc_avg_x,40,10,10
acc_avg_x,41,0,0
acc_avg_x,42,0,0
acc_avg_x,43,0,0
acc_avg_x,44,11,11
acc_avg_x,45,0,0
acc_avg_x,46,0,0
acc_avg_x,47,0,0
acc_avg_x,48,12,12
acc_avg_x,49,0,0
acc_avg_x,50,0,0
acc_avg_x,51,0,0
acc_avg_x,52,13,13
acc_avg_x,53,0,0
acc_avg_x,54,0,0
acc_avg_x,55,0,0
acc_avg_x,56,14,14
acc_avg_x,57,0,0
acc_avg_x,58,0,0
acc_avg_x,59,0,0
acc_avg_x,60,15,15
acc_avg_x,61,0,0
acc_avg_x,62,0,0
acc_avg_x,63,0,0
acc_avg_y,0,0,0
acc_avg_y,1,0,0
acc_avg_y,2,0,0
acc_avg_y,3,0,0
acc_avg_y,4,1,1
acc_avg_y,5,0,0
acc_avg_y,6,0,0
acc_avg_y,7,0,0
acc_avg_y,8,2,2
acc_avg_y,9,0,0
acc_avg_y,10,0,0
acc_avg_y,11,0,0
acc_avg_y,12,3,3
